x,y,dcx,dcy,dc,adv,vdc
25.0,25.0,0.0,-0.0007999999999999119,0.0,3.219451978277318e-06,3.219451978277318e-06
50.0,25.0,0.0004000000000008441,0.0,-0.0004000000000008441,-0.0004040520644532133,-4.05206445236915e-06
75.0,25.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
100.0,25.0,-0.0004000000000008441,-0.0004000000000008441,0.0004000000000008441,0.0004056617907311266,5.6617907302824954e-06
125.0,25.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
150.0,25.0,0.0,0.0,0.0,0.0,-0.0
175.0,25.0,0.0,0.0,0.0,0.0,-0.0
200.0,25.0,0.0,0.0,0.0,0.0,-0.0
225.0,25.0,0.0,-0.0004000000000008441,0.0,1.6097287372075398e-06,1.6097287372075398e-06
250.0,25.0,0.0,-0.0007999999999999119,0.0004000000000008441,0.000403219458779937,3.2194587790929143e-06
275.0,25.0,0.0,-0.0004000000000008441,0.0004000000000008441,0.0004016097300991977,1.609730098353603e-06
300.0,25.0,0.0004000000000008441,0.0004000000000008441,-0.0004000000000008441,-0.0004056617918147112,-5.661791813867102e-06
325.0,25.0,0.0,0.0004000000000008441,-0.0004000000000008441,-0.000401609731683921,-1.609731683076889e-06
350.0,25.0,-0.0004000000000008441,-0.0007999999999999119,0.0004000000000008441,0.0004072715243873917,7.271524386547608e-06
375.0,25.0,0.0004000000000008441,-0.0007999999999999119,0.0007999999999999119,0.0007991650497747829,-8.349502251290207e-07
400.0,25.0,0.00039999999999906777,0.00039999999999906777,0.0004000000000008441,0.0003943399844390996,-5.660015561744555e-06
425.0,25.0,-0.00039999999999906777,0.0,0.0,4.052508787088989e-06,4.052508787088989e-06
450.0,25.0,0.0,-0.0015999999999998238,0.00039999999999906777,0.00040643436435365505,6.434364354587277e-06
475.0,25.0,0.0,-0.0019999999999988916,0.00039999999999906777,0.0004080429609099848,8.042960910917032e-06
500.0,25.0,0.0007999999999999119,-0.00039999999999906777,-0.001200000000000756,-0.001206494366479228,-6.494366478472034e-06
525.0,25.0,0.00039999999999906777,0.0007999999999999119,-0.00039999999999906777,-0.00040727350255003765,-7.2735025509698595e-06
550.0,25.0,-0.0007999999999999119,0.0007999999999999119,0.0004000000000008441,0.000404882225033916,4.882225033071916e-06
575.0,25.0,-0.00039999999999906777,-0.00039999999999906777,0.00039999999999906777,0.0004056623409379803,5.662340938912537e-06
600.0,25.0,0.0,-0.00039999999999906777,0.00039999999999906777,0.00040160890334306823,1.60890334400046e-06
625.0,25.0,0.0,0.0004000000000008441,-0.0004000000000008441,-0.000401609744550133,-1.60974454928891e-06
650.0,25.0,0.00039999999999906777,-0.0004000000000008441,-0.00039999999999906777,-0.0004024423027966837,-2.442302797615972e-06
675.0,25.0,0.0,-0.0007999999999999119,0.0004000000000008441,0.0004032188827871541,3.218882786309971e-06
700.0,25.0,-0.00039999999999906777,-0.0011999999999989797,0.0011999999999989797,0.0012088844460395902,8.884446040610539e-06
725.0,25.0,0.0,-0.0019999999999988916,0.0011999999999989797,0.001208057145993995,8.057145995015262e-06
750.0,25.0,0.00039999999999906777,-0.0004000000000008441,0.0,-2.4427661619335642e-06,-2.4427661619335642e-06
775.0,25.0,0.0004000000000008441,0.0007999999999999119,-0.001200000000000756,-0.0012072715398112712,-7.271539810515045e-06
800.0,25.0,-0.0004000000000008441,0.0,-0.0007999999999999119,-0.0007959479643959796,4.052035603932269e-06
825.0,25.0,-0.00039999999999906777,-0.00039999999999906777,0.0,5.659304499520878e-06,5.659304499520878e-06
850.0,25.0,0.0,0.0,0.00039999999999906777,0.00039999999999906777,-0.0
875.0,25.0,0.0,0.0,0.0,0.0,-0.0
900.0,25.0,0.0,-0.00039999999999906777,-0.0004000000000008441,-0.00039839024325594743,1.609756744896681e-06
925.0,25.0,0.0007999999999999119,-0.00039999999999906777,-0.0007999999999999119,-0.0008064883451605338,-6.488345160621907e-06
950.0,25.0,0.0011999999999989797,0.0011999999999989797,-0.0019999999999988916,-0.0020169899714761286,-1.6989971477237006e-05
975.0,25.0,-0.00039999999999906777,0.0015999999999998238,-0.002000000000000668,-0.002002387011366848,-2.3870113661803783e-06
1000.0,25.0,-0.001200000000000756,0.0,-0.00039999999999906777,-0.0003878520678848015,1.2147932114266261e-05
1025.0,25.0,0.0004000000000008441,0.0004000000000008441,-0.0007999999999999119,-0.0008056631680735637,-5.663168073651855e-06
1050.0,25.0,0.0,0.0004000000000008441,-0.001200000000000756,-0.0012016097619788433,-1.6097619780872524e-06
1075.0,25.0,-0.0007999999999999119,0.0,-0.0004000000000008441,-0.0003918959523905262,8.104047610317895e-06
1100.0,25.0,-0.0004000000000008441,0.0,0.0,4.052023249378856e-06,4.052023249378856e-06
1125.0,25.0,0.0,0.0,0.0,0.0,-0.0
1150.0,25.0,0.0004000000000008441,0.0,0.0,-4.052565421920721e-06,-4.052565421920721e-06
1175.0,25.0,0.00039999999999906777,0.00039999999999906777,-0.00039999999999906777,-0.0004056637693422169,-5.66376934314911e-06
1200.0,25.0,-0.00039999999999906777,-0.00039999999999906777,-0.0004000000000008441,-0.00039433821335062275,5.66178665022138e-06
1225.0,25.0,-0.0004000000000008441,-0.0007999999999999119,0.0,7.271551728594094e-06,7.271551728594094e-06
1250.0,25.0,0.0,-0.0007999999999999119,0.0,3.2195303225423577e-06,3.2195303225423577e-06
25.0,50.0,0.0,0.0,0.0,0.0,-0.0
50.0,50.0,0.0004000000000008441,0.0,-0.0004000000000008441,-0.0004040520644508518,-4.05206445000765e-06
75.0,50.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
100.0,50.0,-0.0004000000000008441,0.0,0.0,4.052064267180382e-06,4.052064267180382e-06
125.0,50.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
150.0,50.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
175.0,50.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
200.0,50.0,0.0,0.0,0.0007999999999999119,0.0007999999999999119,-0.0
225.0,50.0,0.0004000000000008441,0.0004000000000008441,0.00039999999999906777,0.00039433435897970526,-5.665641019362511e-06
250.0,50.0,0.0,0.0004000000000008441,0.00039999999999906777,0.0003983906143067936,-1.6093856922741598e-06
275.0,50.0,-0.0004000000000008441,0.0,0.0004000000000008441,0.0004040520616911457,4.052061690301585e-06
300.0,50.0,0.0,-0.0004000000000008441,0.0,1.6097308243476924e-06,1.6097308243476924e-06
325.0,50.0,0.0004000000000008441,0.0,-0.0004000000000008441,-0.00040405206015660465,-4.052060155760539e-06
350.0,50.0,0.0,0.0004000000000008441,0.0,-1.6110689528291156e-06,-1.6110689528291156e-06
375.0,50.0,-0.0004000000000008441,-0.0004000000000008441,0.0015999999999998238,0.0016056617918060265,5.661791806202868e-06
400.0,50.0,0.0004000000000008441,-0.00039999999999906777,0.0007999999999999119,0.0007975537258344328,-2.4462741654790327e-06
425.0,50.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
450.0,50.0,-0.0004000000000008441,-0.0004000000000008441,0.0007999999999999119,0.000805661791695392,5.661791695480095e-06
475.0,50.0,0.0,-0.0004000000000008441,0.0007999999999999119,0.0008016097376785629,1.6097376786510311e-06
500.0,50.0,0.0004000000000008441,-0.0007999999999999119,-0.0004000000000008441,-0.0004008325750661066,-8.325750652624379e-07
525.0,50.0,0.00039999999999906777,-0.0007999999999999119,0.0,-8.32961816369471e-07,-8.32961816369471e-07
550.0,50.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
575.0,50.0,-0.00039999999999906777,0.0,0.0007999999999999119,0.000804053044227724,4.05304422781217e-06
600.0,50.0,-0.0004000000000008441,-0.0004000000000008441,0.0007999999999999119,0.0008056617906277866,5.661790627874667e-06
625.0,50.0,0.0,-0.0004000000000008441,0.0,1.6097445845602068e-06,1.6097445845602068e-06
650.0,50.0,0.0007999999999999119,0.0,-0.0007999999999999119,-0.0008081040886136255,-8.104088613713547e-06
675.0,50.0,0.0,0.0,0.0,0.0,-0.0
700.0,50.0,0.0,0.00039999999999906777,0.0,-1.609251673475885e-06,-1.609251673475885e-06
725.0,50.0,0.001200000000000756,0.0015999999999998238,-0.0007999999999999119,-0.0008185927577945751,-1.859275779466317e-05
750.0,50.0,0.00039999999999906777,0.0015999999999998238,-0.0011999999999989797,-0.0012104884943024492,-1.0488494303469469e-05
