X,Y,CA,CV
26.5,26.5,1.0,1.0
51.5,26.5,0.8799889381424745,0.9196734482733309
76.5,26.5,0.6659977467537449,0.7606192770537288
101.5,26.5,0.48295982949527566,0.5745870167178041
126.5,26.5,0.3098345928335095,0.3918118645295635
151.5,26.5,0.17383497790511515,0.23245937823326504
176.5,26.5,0.07688619720786163,0.10569064730637305
201.5,26.5,0.015396246467634392,0.01912052094103499
226.5,26.5,-0.027076657998766993,-0.03194744424186405
251.5,26.5,-0.053808333453091786,-0.058423709849447954
276.5,26.5,-0.05902778199917116,-0.07029463790285301
301.5,26.5,-0.05720811777430485,-0.07127920101905243
326.5,26.5,-0.04695374372031614,-0.06814188844103515
351.5,26.5,-0.06703286608128844,-0.06947145442602004
376.5,26.5,-0.09200685407855969,-0.0766805880504453
401.5,26.5,-0.12429239580497263,-0.09169524129601253
426.5,26.5,-0.15411672209364186,-0.11870036142267554
451.5,26.5,-0.17992282172808371,-0.15355302819093808
476.5,26.5,-0.2110404633987057,-0.1885762357425232
501.5,26.5,-0.22622435828567455,-0.21755445439559754
526.5,26.5,-0.2402274746943072,-0.2296403719980497
551.5,26.5,-0.22836795136857382,-0.22977981736019532
576.5,26.5,-0.21106147930054467,-0.22057547465380156
601.5,26.5,-0.1924462412806929,-0.20025051921190998
626.5,26.5,-0.13708795792756215,-0.17168680441123918
26.5,51.5,0.8630381446314659,0.9184338090718622
51.5,51.5,0.7787870566792958,0.8618069354039648
76.5,51.5,0.6581890834368617,0.7290596654649957
101.5,51.5,0.44524307467253005,0.564779273841067
126.5,51.5,0.2899709500579419,0.4008905841523688
151.5,51.5,0.16649518832421165,0.2543164570856874
176.5,51.5,0.07424481511291689,0.12986656894682583
201.5,51.5,0.010767372411580992,0.03673402354380485
226.5,51.5,-0.03093938916863141,-0.025767766753863837
251.5,51.5,-0.05355283678055821,-0.06333210002366041
276.5,51.5,-0.06475563664931726,-0.08433092182913586
301.5,51.5,-0.07229820105524094,-0.0939123132692417
326.5,51.5,-0.07161366225114915,-0.09444240778668632
351.5,51.5,-0.0741696302199638,-0.0934471134853692
376.5,51.5,-0.08089514921169255,-0.09777430229504182
401.5,51.5,-0.1110794825580591,-0.10832985312707102
426.5,51.5,-0.13307175030216792,-0.12980754219875937
451.5,51.5,-0.15343104782632794,-0.15997072146294278
476.5,51.5,-0.18537080253477733,-0.19255585117175722
501.5,51.5,-0.20840257088969666,-0.22162792294405134
526.5,51.5,-0.23886924391727085,-0.2359714300711871
551.5,51.5,-0.23811883947366075,-0.2347170250788601
576.5,51.5,-0.22251865590407938,-0.22093843354688142
601.5,51.5,-0.19695861068952777,-0.1946451940806752
626.5,51.5,-0.14271137152221133,-0.15892557199518664
26.5,76.5,0.6651394452408379,0.7710816494691459
51.5,76.5,0.6095581722231683,0.7376154339444644
76.5,76.5,0.496148494240438,0.6429540168245904
101.5,76.5,0.3894195915926681,0.5150544877258617
126.5,76.5,0.2517762931911333,0.38223293155650323
151.5,76.5,0.1462386226280172,0.2567985746084821
176.5,76.5,0.0649423146069853,0.14249659818073926
201.5,76.5,0.005300727862991154,0.04941795553860603
226.5,76.5,-0.038711753400317336,-0.021747256480802276
251.5,76.5,-0.05945234739555862,-0.07035781342735722
276.5,76.5,-0.06643814539688109,-0.09884127923489851
301.5,76.5,-0.07195516695524723,-0.11263170912364856
326.5,76.5,-0.0691913190552215,-0.11389488601155631
351.5,76.5,-0.0731405370130859,-0.11012900964797108
376.5,76.5,-0.08444259888876243,-0.11249705613733232
401.5,76.5,-0.09639525138024524,-0.12157114473444608
426.5,76.5,-0.11926593716022735,-0.1415476944439253
451.5,76.5,-0.13799372617303482,-0.1709390561886094
476.5,76.5,-0.16598598613524174,-0.20317050544937676
501.5,76.5,-0.18828822224273256,-0.23127059088971902
526.5,76.5,-0.21153464973443029,-0.24537317407783568
551.5,76.5,-0.22640512536793825,-0.2411073664910672
576.5,76.5,-0.2160035768720784,-0.22194906045895427
601.5,76.5,-0.18804498656761637,-0.19049387216332977
626.5,76.5,-0.13138945367617064,-0.1488214806869236
