X,Y,CA,CV
26.5,26.5,1.0,1.0
51.5,26.5,0.8966900601298697,0.9241836113024161
76.5,26.5,0.7076899936792416,0.7781640232406127
101.5,26.5,0.5331143750136561,0.6137109405637776
126.5,26.5,0.38371197926969647,0.4563643524014832
151.5,26.5,0.25868267878090734,0.32363771136708797
176.5,26.5,0.15219808842195387,0.2143207810868062
201.5,26.5,0.07428168483729963,0.12568677369693765
226.5,26.5,0.020114836093307262,0.05639366774505916
251.5,26.5,-0.013866592133935138,0.0021730267589309977
276.5,26.5,-0.04190347674336833,-0.04037606832106668
301.5,26.5,-0.0661438583401946,-0.0737147349257808
326.5,26.5,-0.07593763295543028,-0.09807484135820728
351.5,26.5,-0.07058853655632898,-0.11688908837890073
376.5,26.5,-0.07112955536014665,-0.13494729182727516
401.5,26.5,-0.07452468850994096,-0.1491924516796994
426.5,26.5,-0.08805711289339037,-0.15232582019155597
451.5,26.5,-0.09821321910436513,-0.13789882706981768
476.5,26.5,-0.09842936441726843,-0.10323149427918299
501.5,26.5,-0.08887244587306695,-0.05867974518422933
526.5,26.5,-0.07004574870362364,-0.020636565617869352
551.5,26.5,-0.048698878445375904,0.009668314992417928
576.5,26.5,-0.02164902460794041,0.03906061569841199
601.5,26.5,0.0188244962425505,0.0710843135538531
626.5,26.5,0.06448830609784977,0.10000075638295693
26.5,51.5,0.9156131178184879,0.9403895853021838
51.5,51.5,0.8472521055276518,0.8905721953224444
76.5,51.5,0.6935301725911928,0.7722653406127946
101.5,51.5,0.5355731282248817,0.6288748443269037
126.5,51.5,0.3993861877794963,0.48857153791746794
151.5,51.5,0.2832853373282178,0.36642413951596875
176.5,51.5,0.1882827993634433,0.26314661484770235
201.5,51.5,0.1147409567498706,0.1753143531490433
226.5,51.5,0.06046846588478217,0.10210053198999386
251.5,51.5,0.025512094674512382,0.041438158002505464
276.5,51.5,-0.008904004960535707,-0.008267941006233634
301.5,51.5,-0.03922007592990306,-0.048007162999190535
326.5,51.5,-0.05539934078131902,-0.07806693053512465
351.5,51.5,-0.0578297944820381,-0.1008604598150268
376.5,51.5,-0.06821069341195467,-0.12322512752353619
401.5,51.5,-0.07582396502320389,-0.1419593211562625
426.5,51.5,-0.09028409812485859,-0.14932970490233755
451.5,51.5,-0.10048108545491614,-0.13740830876313515
476.5,51.5,-0.09807529008462264,-0.10224992208785558
501.5,51.5,-0.076059258679777,-0.054548629873833715
526.5,51.5,-0.04494878175709839,-0.011194785308971514
551.5,51.5,-0.01034948777610385,0.02566490047931393
576.5,51.5,0.020110593781625417,0.06246911491873202
601.5,51.5,0.0631772211878653,0.10088159887485876
626.5,51.5,0.10069665499037371,0.13334541576405234
26.5,76.5,0.7388453487996501,0.8134022235385435
51.5,76.5,0.7094225466246262,0.7905084405902835
76.5,76.5,0.6103976183650897,0.7090597088161371
101.5,76.5,0.49155928449973574,0.5983661810859091
126.5,76.5,0.38241112243106,0.4839109768388415
151.5,76.5,0.2873636047942054,0.37794300543244747
176.5,76.5,0.20176601804230157,0.2844660014508366
201.5,76.5,0.13965014180319443,0.20237796587388224
226.5,76.5,0.09325244751342814,0.13099841557613345
251.5,76.5,0.05712932932799199,0.0684604257344956
276.5,76.5,0.016915868304145692,0.015766556819217792
301.5,76.5,-0.013446033105818983,-0.028181471400228253
326.5,76.5,-0.03480277085498552,-0.0626395113278205
351.5,76.5,-0.04708488901329459,-0.08881679180731498
376.5,76.5,-0.06397786071442195,-0.11374167902498382
401.5,76.5,-0.07689969330695286,-0.13485260965564488
426.5,76.5,-0.0914922072761061,-0.1484167124862974
451.5,76.5,-0.10154779630453854,-0.14357671511161896
476.5,76.5,-0.0948648977373314,-0.11306232872012759
501.5,76.5,-0.06924542746362905,-0.06470007208122093
