t,intensity
0,12.000613913445427
1,12.00067241578552
2,12.00064352574103
3,12.000648581498815
4,12.000641358987693
5,12.000657970763275
6,12.000660137516611
7,12.000647859247703
8,12.000637747732132
9,12.000596579418731
10,12.00061463569654
11,48.44027344427111
12,48.44093358178772
13,48.44558704570405
14,48.44809109031028
15,48.45839472467787
16,48.447376783960244
17,48.45172329115387
18,48.44931675044779
19,48.445678049344195
20,48.447654128387356
21,48.446626365054605
22,48.445680938348644
23,48.4505120760386
24,48.44805208875022
25,48.44868044721789
26,48.44484023805396
27,48.450919425665916
28,48.450004333506676
29,48.45574550759808
30,48.453918212284044
31,48.45168284509158
32,48.45322123996071
33,48.4532739642919
34,48.45333680013867
35,48.45110865545733
36,48.45221225515687
37,48.45156367365806
38,48.450405905125095
39,48.45450179118276
40,48.457442797711906
41,48.45291789449356
42,48.45944921130179
43,48.45650748252152
44,48.45706433812908
45,48.4530262321604
46,48.447992141907896
47,48.4513484428266
48,48.44993355289767
49,48.44584633385335
50,48.45243904200613
51,48.44842260357081
52,48.44730889235569
53,48.446364910151964
54,48.44937741954123
55,48.45150372681574
56,48.4544981799272
57,48.45299373086034
58,48.457741087421276
59,48.450861645576936
60,48.45104943086612
61,48.451983301554286
62,48.45203530363437
63,48.45395865834633
64,48.44954570405039
65,48.45494958687237
66,48.44691959900618
67,48.452502600104005
68,48.44730744785347
69,48.449752990119606
70,48.44996677644883
71,48.45190890968972
72,48.45262538279309
73,48.45117799156411
74,48.44916724446755
75,48.44904373952736
76,48.44883789796036
77,48.44751762292714
78,48.44710593979315
79,48.44917735598313
80,48.45183307332293
81,48.44960781764604
82,48.444221268850754
83,48.45138816663778
84,48.448160426417054
85,48.449178800485356
86,48.451011151557175
87,48.45216025307679
88,48.456486537239265
89,48.450135783209106
90,48.45195007800312
91,48.45131594152655
92,48.44637357716531
93,48.450259288149304
94,48.4511361009996
95,48.44839949153522
96,48.447287224822325
97,48.449826659733056
98,48.44712327381984
99,48.449485757208066
100,48.4521429190501
101,48.44666031085688
102,48.445591379210725
103,48.446401744958685
104,48.44592505922459
105,48.44535231409257
106,48.44800369792569
107,48.447848413936555
108,48.44450800254232
109,48.44655702894782
110,48.44472034436933
111,48.44898234818282
112,48.44779424510314
113,48.444006038019296
114,48.445232420407926
115,48.443969203212575
116,48.45212052926561
117,48.445504709077255
118,48.44918385624314
119,48.44703371468192
120,48.44604206390478
121,48.44661553128792
122,48.445358092101465
123,48.44766135089848
124,48.44925897035881
125,48.44969015427284
126,48.45317790489398
127,48.447006991390765
128,48.451071820650604
129,48.44882634194256
130,48.44740206274918
131,48.45413416536662
132,48.45017695152251
133,48.4507771421968
134,48.448754839082454
135,48.452280146761424
136,48.447703963714105
137,48.451292107239844
138,48.4459077251979
139,48.44787585947882
140,48.45290778297799
141,48.45246504304617
142,48.4527734442711
143,48.4492994164211
144,48.45418327844225
145,48.45186124111631
146,48.44751978968048
147,48.450584301149824
148,48.450392904605074
149,48.45012856069798
150,48.449134743167505
151,48.453222684462936
152,48.44817126018374
153,48.450728751372274
154,48.44750245565378
155,48.44810120182585
156,48.448524440977636
157,48.44724677876004
158,48.453505806898946
159,48.452308314554806
160,48.45129282949096
161,48.45132966429768
162,48.44874472756688
163,48.447111717802045
164,48.45008016987346
165,48.45150517131796
166,48.454893251285604
167,48.453472583347775
168,48.453487750621136
169,48.45236031663489
170,48.44567299358641
171,48.45035968105391
172,48.4491874674987
173,48.44934347373895
174,48.45269760790432
175,48.448320043912865
176,48.45005922459121
177,48.44574738545097
178,48.44957892760155
179,48.44637141041197
180,48.442921216848674
181,48.44706549373086
182,48.44667836713469
183,48.448647223666725
184,48.44814020338591
185,48.45166840006934
186,48.451659010804875
187,48.44992849713989
188,48.45016250650026
189,48.44800586467903
