X,Y,CA,CV
26.5,26.5,1.0,1.0
51.5,26.5,1.1301615078315141,0.9234675455604271
76.5,26.5,0.8926905250920207,0.7812456867732874
101.5,26.5,0.6958510061664644,0.62579290051643
126.5,26.5,0.5385096539461749,0.474777838906569
151.5,26.5,0.406516088026615,0.34108939534057003
176.5,26.5,0.2812577924745746,0.22978879933357702
201.5,26.5,0.1549086892855996,0.1410216474065449
226.5,26.5,0.06849177480148401,0.07360210726975915
251.5,26.5,0.03246997860558914,0.024637771319319015
276.5,26.5,0.026608111229197318,-0.011058033166071485
301.5,26.5,-0.017805198215285065,-0.035749055568173205
326.5,26.5,-0.02573969863558703,-0.058297950325851666
351.5,26.5,-0.0328540607362278,-0.07922646435193646
376.5,26.5,-0.016022517067445074,-0.09814754285072515
401.5,26.5,0.005831490449346979,-0.11293977526919603
426.5,26.5,0.009557746150582705,-0.11932320113622498
451.5,26.5,0.030062341709564157,-0.11449617368096737
476.5,26.5,0.05038571566989064,-0.10235904392202605
501.5,26.5,0.05469364062799319,-0.08794358235646019
526.5,26.5,0.053617318623950756,-0.07277544374815259
551.5,26.5,0.053421914039132955,-0.05889455989676521
576.5,26.5,0.04463427150719837,-0.05232028826531846
601.5,26.5,0.06134686819504885,-0.05918688468909045
626.5,26.5,0.06684399835957056,-0.07748245111165687
26.5,51.5,1.0928719083223501,0.9344080675778267
51.5,51.5,1.00866464930246,0.8693095084466783
76.5,51.5,0.8294335949846803,0.7389605878230704
101.5,51.5,0.6617157769369194,0.5905449248050861
126.5,51.5,0.5122279155696312,0.4462841694390107
151.5,51.5,0.37968200397486346,0.31520399739198035
176.5,51.5,0.25157080436380613,0.20411068704617838
201.5,51.5,0.12881634094042188,0.11401926688143299
226.5,51.5,0.05822286763802462,0.04417194803858761
251.5,51.5,-0.00047915238617818513,-0.003967666680788543
276.5,51.5,-0.025833689377776442,-0.03778686307679579
301.5,51.5,-0.018964378765640864,-0.06139692976514616
326.5,51.5,-0.03769416711894344,-0.08183940698186497
351.5,51.5,-0.05583835850979873,-0.09864059629625423
376.5,51.5,-0.0415703728999673,-0.1107707271055303
401.5,51.5,-0.01320730997303674,-0.12086764744388799
426.5,51.5,-0.017268029398953742,-0.12906553428011244
451.5,51.5,-0.01393210125790937,-0.13006202137005946
476.5,51.5,-0.008763438342905107,-0.12484617350994665
501.5,51.5,-0.0010125337634492042,-0.1168396100726683
526.5,51.5,0.009557773429100264,-0.10749276134220023
551.5,51.5,0.020938945130812302,-0.10002046535138855
576.5,51.5,0.03233443761131875,-0.097029001809753
601.5,51.5,0.04219115618592636,-0.10094380194832368
626.5,51.5,0.05815278454408756,-0.11210262802624298
26.5,76.5,0.8393510066601784,0.7971498432416897
51.5,76.5,0.8047294450593991,0.7455740708620407
76.5,76.5,0.7029019423420084,0.6411804859988453
101.5,76.5,0.5692565767557054,0.5147123579773952
126.5,76.5,0.44844540173631714,0.38989529816067925
151.5,76.5,0.3238046897385603,0.27267281548798034
176.5,76.5,0.20964521240228529,0.16928136542382702
201.5,76.5,0.12801631122215348,0.08318901463919448
226.5,76.5,0.037968772317582,0.016342710800620504
251.5,76.5,-0.0016543270636406799,-0.029803882500656284
276.5,76.5,-0.020666722535812206,-0.06279539529844748
301.5,76.5,-0.022557677553713726,-0.08601444491258016
326.5,76.5,-0.030059335955833908,-0.10482232628943822
351.5,76.5,-0.03797652448998899,-0.11797865214558739
376.5,76.5,-0.032590092037212026,-0.12161437819322332
