X	Y	frame
73.138550	97.582062	0
39.911972	73.105324	0
75.526421	53.175152	0
71.584488	97.645485	1
39.200603	71.806969	1
76.492615	53.929100	1
70.229897	97.429527	2
38.557869	70.905228	2
76.340591	53.177971	2
69.481377	97.303833	3
38.262562	70.536995	3
75.699837	52.488377	3
68.735878	98.276459	4
38.474953	70.548187	4
75.667892	51.993965	4
68.176277	98.713036	5
38.406410	70.649284	5
74.878471	50.576481	5
67.725029	99.900566	6
38.880093	71.347862	6
74.549721	49.800331	6
67.773392	99.158638	7
38.995628	71.264526	7
74.912956	49.332237	7
67.596130	98.105850	8
38.351662	70.553329	8
74.293404	48.357132	8
66.541542	98.476936	9
73.797180	48.481716	9
37.176785	70.995461	9
66.651878	99.971977	10
74.958916	49.575390	10
35.959896	73.474632	10
66.706406	102.402092	11
76.179993	49.827496	11
35.327152	75.360817	11
66.624023	103.887749	12
76.028038	49.320541	12
36.062229	76.908295	12
76.620697	49.199821	13
66.674881	103.966858	13
35.332748	78.002693	13
76.840126	48.861942	14
36.308674	77.410492	14
67.909187	103.776009	14
37.350452	77.557785	15
75.720673	49.141796	15
68.858749	104.208305	15
68.766548	103.643761	16
75.621109	49.898254	16
38.846191	77.889267	16
68.571762	103.154640	17
75.641434	50.197392	17
39.994720	76.515511	17
75.641281	50.000423	18
68.348648	102.474403	18
40.723797	75.556404	18
68.412994	101.770477	19
75.360733	49.354195	19
39.938709	77.403648	19
75.937752	50.303387	20
68.272797	100.768082	20
38.206970	77.889671	20
76.744400	50.701015	21
68.701859	99.274544	21
36.904152	77.768883	21
76.362190	50.502277	22
69.114601	98.494698	22
36.237576	77.377937	22
69.827995	98.231918	23
75.253044	50.689423	23
37.279514	76.732826	23
70.617622	97.825142	24
75.417099	50.549732	24
38.374550	76.551727	24
72.383339	95.981346	25
75.098778	50.625519	25
38.362946	76.406578	25
72.948761	95.105431	26
73.324234	50.420849	26
38.039875	77.115814	26
72.640854	95.326225	27
72.526421	51.073051	27
38.160618	77.110245	27
39.243057	75.917938	28
72.915642	95.923241	28
71.876152	51.048248	28
72.559937	96.571411	29
39.133625	76.336014	29
70.808922	51.099300	29
38.562962	75.937576	30
69.302956	51.059635	30
71.207222	97.320076	30
70.365746	97.757629	31
67.054581	50.565582	31
38.640453	75.843155	31
71.191696	97.524231	32
66.555756	49.454838	32
39.746712	75.715668	32
71.695496	98.195854	33
68.006004	47.995747	33
41.348339	74.680016	33
71.932304	98.346291	34
68.766594	47.611778	34
41.822781	74.661873	34
71.884804	98.827385	35
69.399437	46.590759	35
42.282566	74.167435	35
72.321320	99.278824	36
69.947510	46.789169	36
42.782127	73.404831	36
73.038193	99.978943	37
70.079483	47.714622	37
41.667511	73.234154	37
73.505463	101.004784	38
70.409409	46.586536	38
42.168930	73.288864	38
73.478401	101.123703	39
43.189400	72.860374	39
71.478249	44.696625	39
73.548767	101.236732	40
42.302814	73.812134	40
70.436569	46.222954	40
74.366783	101.601883	41
70.398552	46.192757	41
42.125050	72.925568	41
70.185570	47.083603	42
73.806969	103.226570	42
40.725544	72.476006	42
69.845467	47.343891	43
73.344254	103.941498	43
40.413986	72.425774	43
70.020332	48.367035	44
72.929291	103.764740	44
40.561966	72.957756	44
72.318260	103.068481	45
71.771667	50.125206	45
40.934998	73.262245	45
72.949898	102.601631	46
72.764084	49.610718	46
41.372879	73.036636	46
72.790329	101.820511	47
72.148102	49.377831	47
41.117363	72.719635	47
71.913277	101.590469	48
71.604759	50.093376	48
40.770981	73.236938	48
70.202873	102.256447	49
72.952843	50.226757	49
41.546116	73.769539	49
70.965645	101.934837	50
73.109665	49.810062	50
42.434471	74.557518	50
71.182243	101.855103	51
73.103676	49.737976	51
42.529530	74.674347	51
71.269440	101.658493	52
73.886490	49.414700	52
43.315914	74.910431	52
71.465401	102.153679	53
73.817413	49.626724	53
43.845013	75.328918	53
72.031342	102.604416	54
72.910873	50.610622	54
43.499454	75.992302	54
72.513374	103.185844	55
72.982109	51.273563	55
43.324848	76.891312	55
71.431564	103.862709	56
73.774529	51.489872	56
43.322670	76.830376	56
70.635361	104.860168	57
73.408974	51.752304	57
43.064327	76.595062	57
70.394287	105.583336	58
73.696266	51.610470	58
42.678215	76.875946	58
70.980194	105.876480	59
73.471046	50.704048	59
42.241703	76.313248	59
72.106728	104.670937	60
40.718361	75.679802	60
72.606926	50.667789	60
72.207634	105.227135	61
40.798050	77.164871	61
72.326500	50.994797	61
73.670998	105.314941	62
43.292126	77.236435	62
73.791725	49.579353	62
72.979988	105.569656	63
74.701500	48.952164	63
44.490417	76.268127	63
72.628899	104.282730	64
74.356598	48.491135	64
43.570541	74.208755	64
71.204720	104.458443	65
73.684357	48.239750	65
41.807068	73.610573	65
71.023254	104.472939	66
74.168449	48.204487	66
38.480980	70.410469	66
72.701920	105.104721	67
37.630905	67.346306	67
75.088112	48.443020	67
75.156136	104.387131	68
37.504936	67.575836	68
74.392654	48.529934	68
75.061783	103.283516	69
74.311966	49.549347	69
37.992023	67.043938	69
75.590172	103.119827	70
74.423363	49.350971	70
37.600636	65.067055	70
76.289444	103.289078	71
74.294769	49.027031	71
37.374191	65.802345	71
75.981720	103.530479	72
73.943977	49.300251	72
36.806812	66.695938	72
75.010368	104.501221	73
73.669075	48.886330	73
37.371071	68.058250	73
73.951637	105.250557	74
73.312210	48.189968	74
37.884701	68.811882	74
37.298122	68.569344	75
74.233040	105.937889	75
72.708412	47.333496	75
35.969360	68.560753	76
73.977554	107.050034	76
71.444115	46.223080	76
34.976868	67.730896	77
72.924866	107.052292	77
71.430000	45.873161	77
34.377796	67.717247	78
73.166321	104.956627	78
72.041069	46.996078	78
72.751968	104.223488	79
34.570450	67.309868	79
72.722847	46.967785	79
72.345970	103.975357	80
72.887878	47.602634	80
34.869884	67.780083	80
71.845543	104.153343	81
73.254028	47.879505	81
36.267025	69.824142	81
37.608463	68.832756	82
73.617729	47.746632	82
70.823418	103.766281	82
69.561386	103.450706	83
73.701897	47.727440	83
39.357361	69.763466	83
69.304787	102.172737	84
73.781174	48.689392	84
40.147919	71.906158	84
74.205887	48.625240	85
69.980415	101.999374	85
39.759514	72.493729	85
74.461647	48.700424	86
71.005760	102.653412	86
41.151272	74.189835	86
71.637474	102.654411	87
74.972137	48.676296	87
41.730373	73.554550	87
70.337624	103.551109	88
75.481232	49.541634	88
40.633968	72.042992	88
70.687363	103.542198	89
75.554596	49.429199	89
39.611500	70.147507	89
75.596588	48.870029	90
70.556366	102.910385	90
36.780994	68.860779	90
70.056168	104.345726	91
74.958138	48.499172	91
34.532181	69.213516	91
70.140106	106.067360	92
74.540916	48.618748	92
32.453861	69.405724	92
70.369461	107.274910	93
74.414612	48.221931	93
32.483238	69.461906	93
70.769730	105.868668	94
74.588615	47.786289	94
31.336092	70.731979	94
71.710449	105.366898	95
74.261559	47.194176	95
30.445835	71.675232	95
71.647202	105.541016	96
73.046417	46.379509	96
30.664398	72.040504	96
71.494339	105.612541	97
73.406601	47.129269	97
32.798195	73.019112	97
71.963188	104.865746	98
73.778763	47.053650	98
37.042675	74.124687	98
70.711685	104.184395	99
74.521851	46.970249	99
38.126789	75.529175	99
